ip_address,rtt,type,hop_num
61.200.80.218,20.083,11,17
61.200.80.218,20.553,11,17
61.200.80.218,12.967,11,17
61.200.80.218,13.394,11,17
61.200.80.218,13.17,11,17
61.200.80.218,12.906,11,17
61.200.80.218,12.964,11,17
61.200.80.218,13.094,11,17
61.200.80.218,12.7,11,17
61.200.80.218,13.851,11,17
61.200.80.218,14.978,11,17
61.200.80.218,13.332,11,17
61.200.80.218,13.074,11,17
61.200.80.218,13.77,11,17
61.200.80.218,13.478,11,17
61.200.80.218,13.612,11,17
61.200.80.218,13.454,11,17
61.200.80.218,13.152,11,17
61.200.80.218,12.045,11,17
61.200.80.218,14.997,11,17
61.200.80.218,13.614,11,17
61.200.80.218,12.583,11,17
61.200.80.218,13.59,11,17
61.200.80.218,13.135,11,17
61.200.80.218,12.594,11,17
61.200.80.218,13.132,11,17
61.200.80.218,14.274,11,17
61.200.80.218,14.776,11,17
61.200.80.218,15.427,11,17
61.200.80.218,12.933,11,17
61.200.80.218,14.586,11,17
61.200.80.218,14.37,11,17
61.200.80.218,14.114,11,17
61.200.80.218,12.872,11,17
61.200.80.218,11.102,11,17
61.200.80.218,13.241,11,17
61.200.80.218,13.448,11,17
61.200.80.218,15.737,11,17
61.200.80.218,13.098,11,17
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,18
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
